date,year,title,agency,originator,description,record_type,status,series,series_order,archived_path,canonical_archived_path,official_source_url,official_source_parent,official_source_note,official_source_host,summary_path,page_count,file_size_bytes,sha256,is_duplicate,duplicate_count,duplicate_paths,sensitive_source_handling
2025-06-25,2025,Aeris Investments Fixed Tax Rate Agreement,Chesterfield County Board of Supervisors,Chesterfield County and Aeris Investments LLC,"County agreement document for Project Loch, identified in the text as a proposed large-scale data center project on approximately 342 acres in Chesterfield County.",established fact,historical,County tax agreement record,2,docs/chesterfield/2025-06-25_Aeris_Investments_Fixed_Tax_Rate_Agreement.pdf,docs/chesterfield/2025-06-25_Aeris_Investments_Fixed_Tax_Rate_Agreement.pdf,https://chesterfieldcova.portal.civicclerk.com/event/1232/files/attachment/11740,https://chesterfieldcova.portal.civicclerk.com/,,chesterfieldcova.portal.civicclerk.com,summaries/aeris-tax-agreement.html,11,115259,6af5edf3d53a690ca1496195ac735fd599bf71999552e08e53dcae7039b9a775,False,1,docs/chesterfield/2025-06-25_Aeris_Investments_Fixed_Tax_Rate_Agreement.pdf,
2025-06-25,2025,Chesterfield Board of Supervisors Agenda Packet,Chesterfield County Board of Supervisors,Chesterfield County Board of Supervisors,"Agenda packet for the June 25, 2025 Board of Supervisors meeting, including the county item titled 'Approval of a Fixed Tax Rate Agreement with Project Loch (Aeris).'",established fact,historical,County board meeting record,1,docs/chesterfield/2025-06-25_Chesterfield_BOS_Agenda_Packet.pdf,docs/chesterfield/2025-06-25_Chesterfield_BOS_Agenda_Packet.pdf,https://chesterfieldcova.portal.civicclerk.com/event/1232/files/agenda/3602,https://chesterfieldcova.portal.civicclerk.com/,,chesterfieldcova.portal.civicclerk.com,summaries/chesterfield-bos-agenda-packet.html,669,64963501,cd2dc7867557b68c7c9f00a59e86d524835fccd1afe25d9f76c1feaced755c62,False,1,docs/chesterfield/2025-06-25_Chesterfield_BOS_Agenda_Packet.pdf,
2025-06-25,2025,Chesterfield Board of Supervisors Minutes on Project Loch Approval,Chesterfield County Board of Supervisors,Chesterfield County Board of Supervisors,"Board minutes recording formal approval of the fixed tax rate agreement with Project Loch (Aeris), including the statement that the agreement matched the one approved for Project Skye.",established fact,historical,County board meeting record,3,docs/chesterfield/2025-06-25_Chesterfield_BOS_Minutes_Project_Loch_Approval.pdf,docs/chesterfield/2025-06-25_Chesterfield_BOS_Minutes_Project_Loch_Approval.pdf,https://chesterfieldcova.portal.civicclerk.com/event/1232/files/agenda/3618,https://chesterfieldcova.portal.civicclerk.com/,,chesterfieldcova.portal.civicclerk.com,summaries/chesterfield-bos-minutes-project-loch-approval.html,73,418161,0775b177a00afcbfdab93e9a9ec8c1ce2fe716bd57f1f76297674c0675517bdc,False,1,docs/chesterfield/2025-06-25_Chesterfield_BOS_Minutes_Project_Loch_Approval.pdf,
2025-08-27,2025,Chesterfield Board of Supervisors Minutes on Google Identity,Chesterfield County Board of Supervisors,Chesterfield County Board of Supervisors,"Board minutes recording the public statement that Project Peanut, Project Loch (Aeris), and Project Skye (Skyward) were Google projects.",established fact,historical,County board meeting record,2,docs/chesterfield/2025-08-27_Chesterfield_BOS_Minutes_Project_Loch_Google_Identity.pdf,docs/chesterfield/2025-08-27_Chesterfield_BOS_Minutes_Project_Loch_Google_Identity.pdf,https://chesterfieldcova.portal.civicclerk.com/event/1234/files/agenda/3658,https://chesterfieldcova.portal.civicclerk.com/,,chesterfieldcova.portal.civicclerk.com,summaries/bos-minutes-google-identity.html,39,358940,5ea9e6526ddfe4580d27679aaac5a8fea4d2773fe66ca162894aba0d9c9ad143,False,1,docs/chesterfield/2025-08-27_Chesterfield_BOS_Minutes_Project_Loch_Google_Identity.pdf,
2026-01-29,2026,Project Loch DoD SAFE Transmittal and Supporting Files,Google / Timmons Group,"Google, LLC and Timmons Group","Applicant transmittal record for the initial application package. The archived PDF preserves a historical transfer notice, but the public site does not expose its expired file-transfer credentials.",applicant assertion,historical,Initial application package,1,docs/google/2026-01-29_Project_Loch_DoD_SAFE_Transmittal_and_Supporting_Files.pdf,docs/google/2026-01-29_Project_Loch_DoD_SAFE_Transmittal_and_Supporting_Files.pdf,https://webapps.mrc.virginia.gov/public/habitat/getADD.php?id=267375,https://webapps.mrc.virginia.gov/public/habitat/additionaldocs.php?id=20260171,,webapps.mrc.virginia.gov,summaries/dod-safe-transmittal.html,247,29247503,934143c841af91f90ef1b952152b8de21bd78497a676828db68bc66f90ece69c,True,2,docs/google/2026-01-29_Project_Loch_DoD_SAFE_Transmittal_and_Supporting_Files.pdf | docs/vmrc/VMRC_JPA-26-0171_Document_267375.pdf,Official source link points to the VMRC docket copy instead of the expired transfer link preserved in the document.
2026-01-29,2026,Project Loch Environmental Report and Technical Appendices,Google / Timmons Group,"Google, LLC and Timmons Group",Applicant environmental report volume containing technical appendices and supporting wetland-impact documentation submitted with the initial application package.,applicant assertion,historical,Initial application package,3,docs/google/2026-01-29_Project_Loch_Environmental_Report_and_Technical_Appendices.pdf,docs/google/2026-01-29_Project_Loch_Environmental_Report_and_Technical_Appendices.pdf,https://webapps.mrc.virginia.gov/public/habitat/getADD.php?id=267377,https://webapps.mrc.virginia.gov/public/habitat/additionaldocs.php?id=20260171,,webapps.mrc.virginia.gov,summaries/environmental-report.html,96,14490296,43fffeaf44c2e94b9293d8844abee8587671692c961cf1bb6bf0d050f6a6c972,True,2,docs/google/2026-01-29_Project_Loch_Environmental_Report_and_Technical_Appendices.pdf | docs/vmrc/VMRC_JPA-26-0171_Document_267377.pdf,
2026-01-29,2026,Project Loch Joint Permit Application Package,Google / Timmons Group,"Google, LLC and Timmons Group","Applicant's main joint permit application volume for the proposed Project Loch campus, including narrative, drawings, and permit-request materials.",applicant assertion,historical,Initial application package,2,docs/google/2026-01-29_Project_Loch_Joint_Permit_Application_Package.pdf,docs/google/2026-01-29_Project_Loch_Joint_Permit_Application_Package.pdf,https://webapps.mrc.virginia.gov/public/habitat/getADD.php?id=267376,https://webapps.mrc.virginia.gov/public/habitat/additionaldocs.php?id=20260171,,webapps.mrc.virginia.gov,summaries/joint-permit-application.html,366,29260281,24426d93dea0fd5eb342137f12aa64486f5a27c29a153c5fc6cc3a7162c31d7e,True,2,docs/google/2026-01-29_Project_Loch_Joint_Permit_Application_Package.pdf | docs/vmrc/VMRC_JPA-26-0171_Document_267376.pdf,
2026-02-03,2026,VMRC Docket Copy: 2026-0171 Part 1,Virginia Marine Resources Commission,Virginia Marine Resources Commission docket copy,VMRC-posted docket copy of the applicant's initial transmittal and supporting files for JPA 26-0171.,applicant assertion,historical,VMRC docket copies,1,docs/vmrc/VMRC_JPA-26-0171_Document_267375.pdf,docs/google/2026-01-29_Project_Loch_DoD_SAFE_Transmittal_and_Supporting_Files.pdf,https://webapps.mrc.virginia.gov/public/habitat/getADD.php?id=267375,https://webapps.mrc.virginia.gov/public/habitat/additionaldocs.php?id=20260171,,webapps.mrc.virginia.gov,summaries/vmrc-docket-part-1.html,247,29247503,934143c841af91f90ef1b952152b8de21bd78497a676828db68bc66f90ece69c,True,2,docs/google/2026-01-29_Project_Loch_DoD_SAFE_Transmittal_and_Supporting_Files.pdf | docs/vmrc/VMRC_JPA-26-0171_Document_267375.pdf,
2026-02-03,2026,VMRC Docket Copy: 2026-0171 Part 2,Virginia Marine Resources Commission,Virginia Marine Resources Commission docket copy,VMRC-posted docket copy of the main joint permit application package for JPA 26-0171.,applicant assertion,historical,VMRC docket copies,2,docs/vmrc/VMRC_JPA-26-0171_Document_267376.pdf,docs/google/2026-01-29_Project_Loch_Joint_Permit_Application_Package.pdf,https://webapps.mrc.virginia.gov/public/habitat/getADD.php?id=267376,https://webapps.mrc.virginia.gov/public/habitat/additionaldocs.php?id=20260171,,webapps.mrc.virginia.gov,summaries/vmrc-docket-part-2.html,366,29260281,24426d93dea0fd5eb342137f12aa64486f5a27c29a153c5fc6cc3a7162c31d7e,True,2,docs/google/2026-01-29_Project_Loch_Joint_Permit_Application_Package.pdf | docs/vmrc/VMRC_JPA-26-0171_Document_267376.pdf,
2026-02-03,2026,VMRC Docket Copy: 2026-0171 Part 3,Virginia Marine Resources Commission,Virginia Marine Resources Commission docket copy,VMRC-posted docket copy of the environmental report and technical appendices for JPA 26-0171.,applicant assertion,historical,VMRC docket copies,3,docs/vmrc/VMRC_JPA-26-0171_Document_267377.pdf,docs/google/2026-01-29_Project_Loch_Environmental_Report_and_Technical_Appendices.pdf,https://webapps.mrc.virginia.gov/public/habitat/getADD.php?id=267377,https://webapps.mrc.virginia.gov/public/habitat/additionaldocs.php?id=20260171,,webapps.mrc.virginia.gov,summaries/vmrc-docket-part-3.html,96,14490296,43fffeaf44c2e94b9293d8844abee8587671692c961cf1bb6bf0d050f6a6c972,True,2,docs/google/2026-01-29_Project_Loch_Environmental_Report_and_Technical_Appendices.pdf | docs/vmrc/VMRC_JPA-26-0171_Document_267377.pdf,
